salary,gender,10percentage,12graduation,12percentage,12board,degree,specialization,collegegpa,graduationyear,english,logical,quant,domain,computerprogramming,computerscience,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,period
300000,m,89.92,1970-01-01 00:00:00.000002010,87.0,STATE BOARD,B.Tech/B.E.,ECE,76.32,1970-01-01 00:00:00.000002014,560,555,620,0.622642915849938,645,407,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,8
300000,m,86.08,1970-01-01 00:00:00.000002010,67.5,STATE BOARD,B.Tech/B.E.,CSE,72.98,1970-01-01 00:00:00.000002014,590,435,380,0.356536487724475,405,346,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1
300000,m,81.2,1970-01-01 00:00:00.000002008,79.9,STATE BOARD,B.Tech/B.E.,EC,67.67,1970-01-01 00:00:00.000002013,395,565,645,0.622642915849938,495,376,0.7027,0.7119,0.01,-0.995,0.6721,9
250000,m,60.8,1970-01-01 00:00:00.000002006,66.66,CBSE,MCA,CA,74.74,1970-01-01 00:00:00.000002013,465,585,515,0.911395278391328,545,500,0.8463,1.0449,-1.0659,-1.6289,0.6721,1
335000,m,88.0,1970-01-01 00:00:00.000002010,90.0,STATE BOARD,B.Tech/B.E.,CSE,76.0,1970-01-01 00:00:00.000002014,625,555,630,0.356536487724475,475,346,0.4155,0.8027,0.1357,-0.995,-0.6692,1
435000,f,86.8,1970-01-01 00:00:00.000002008,82.8,CBSE,B.Tech/B.E.,CSE,78.0,1970-01-01 00:00:00.000002012,575,585,575,0.744758354008939,565,438,0.0464,1.2028,-0.9245,0.5323,-0.2875,10
220000,m,64.0,1970-01-01 00:00:00.000002010,74.0,CBSE,B.Tech/B.E.,IT,68.0,1970-01-01 00:00:00.000002014,485,375,435,0.486747008438193,345,376,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0
340000,m,77.2,1970-01-01 00:00:00.000002010,86.1,STATE BOARD,B.Tech/B.E.,CSE,71.0,1970-01-01 00:00:00.000002014,560,485,450,0.622642915849938,485,407,-0.0154,1.2114,1.0859,-1.5021,0.2889,1
145000,m,73.0,1970-01-01 00:00:00.000002010,68.4,STATE BOARD,B.Tech/B.E.,IT,74.3,1970-01-01 00:00:00.000002014,560,530,605,0.911395278391328,445,500,-0.7335,0.5454,-0.7585,-0.6147,1.4386,8
215000,f,71.0,1970-01-01 00:00:00.000002009,68.0,ICSE,B.Tech/B.E.,CSE,70.86,1970-01-01 00:00:00.000002013,430,510,405,0.356536487724475,465,346,1.5644,1.0449,0.3174,-1.8824,1.0554,7
